GEOID,NAME,NAMEmsa,tpopr,pwhite,pblack,pasian,phisp,povr,ttrips,PM25,mpm,npm
36005011502,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4437,0.00721208,0.366689204,0.002028398,0.61663286,0.427122642,69919,8.221761202,8.364483961,8.229516393
36081016300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3504,0.168949772,0.209474886,0.089611872,0.53196347,0.250285388,69447,8.419561475,8.401366609,8.433553859
36081017400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2455,0.012627291,0.355600815,0.195112016,0.229735234,0.119755601,41659,8.017997541,8.118991491,8.008319399
36081018502,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3679,0.446045121,0.019026909,0.187822778,0.340853493,0.117679107,36599,8.47106694,8.471367434,8.472731557
36081022001,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",6124,0.250326584,0.147615937,0.221097322,0.365774004,0.129113078,86105,8.042973224,8.235339067,8.05374388
36081023500,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",8065,0.113453193,0.008307502,0.303409795,0.561066336,0.154370738,116547,8.45714071,8.44462242,8.45975082
36081026300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",6402,0.125429553,0,0.53811309,0.315526398,0.171352702,119872,8.371972131,8.420840254,8.369143352
36081027600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1533,0.012393999,0.767123288,0.063274625,0.112198304,0.076570681,24178,7.951335519,8.139609767,7.950631304
36081071900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2287,0.557936161,0.055531264,0.226060341,0.131176213,0.213817228,45777,8.177517213,8.253271829,8.173601835
36081072900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1419,0.477096547,0.031007752,0.346723044,0.10782241,0.05106383,27108,8.170507924,8.291103509,8.161309836
36081078800,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1982,0.037840565,0.613521695,0.113017154,0.109485368,0.121089808,30981,7.953490984,8.146160976,7.946187158
36081080301,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3872,0.139721074,0.02143595,0.62267562,0.201704545,0.125485123,49790,8.079884153,8.196206475,8.075938251
36081085500,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",6936,0.081026528,0.046280277,0.619665513,0.225922722,0.151401329,82287,8.090566667,8.214009309,8.094683661
36081092200,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2025,0.934320988,0,0.017283951,0.048395062,0.008888889,58137,7.980848907,8.206168923,8.023266029
36047036501,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3254,0,0.833435771,0.010141364,0.156422864,0.169910411,58297,8.463828142,8.478026805,8.46433561
36047037900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3878,0.108303249,0.805312017,0.010830325,0.06343476,0.28700361,87884,8.500548634,8.506871786,8.502550364
36047039400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2408,0.800249169,0.021179402,0.031146179,0.10589701,0.181478405,34721,8.497840437,8.494759919,8.492634734
36047040700,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",0,0,0,0,0,0,228,8.405511475,8.526855363,8.408931694
36047042100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4226,0.184808329,0.106247042,0.049692381,0.642688121,0.258163748,63688,8.513589344,8.531408416,8.510316166
36047043600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4678,0.557716973,0.011543395,0.236853356,0.152415562,0.210987602,71060,8.572053552,8.561260934,8.575790335
36081028900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5180,0.274517375,0.016216216,0.352702703,0.3003861,0.095945946,64538,8.352768306,8.409307337,8.350702687
36081032900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3515,0.151920341,0.050071124,0.174110953,0.617354196,0.149914335,70830,8.312165301,8.343337302,8.308904508
36047107800,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4154,0.024313914,0.804525758,0,0.099662975,0.163697641,62937,8.278179235,8.410702493,8.274005582
36047112600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3395,0.013549337,0.751988218,0.024153166,0.20736377,0.277694386,82517,8.357118852,8.44064024,8.35172541
36047116400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3495,0,0.641201717,0.022317597,0.336480687,0.193133047,58054,8.304747268,8.391973306,8.303217441
36047117602,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3000,0.047666667,0.193666667,0.014333333,0.667333333,0.25142474,57732,8.278200273,8.361206882,8.27437612
